UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,19950
JN,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",204
K3,Venture Travel LLC d/b/a Taquan Air Service,11693
K5,"Seaport Airlines, Inc.",5891
KAH,Kenmore Air Harbor,11188
KAQ,Kalitta Air LLC,1899
KAT,Katmai Air,3087
KD,Western Global,828
KE,Korean Air Lines Co. Ltd.,3919
KH,Aloha Air Cargo,10143
KL,Klm Royal Dutch Airlines,5
KLQ,Kalitta Charters II,1518
KO,Alaska Central Express,11682
KS,Peninsula Airways Inc.,20697
KV,Sky Regional Airlines Inc.,33
KZ,Nippon Cargo Airlines,1798
L2,Lynden Air Cargo Airlines,2136
L7,Lan Colombia,2
LA,LATAM Airlines Group SA dba Lan Airlines,12
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,9159
LH,Lufthansa German Airlines,318
LP,Lan Peru Airlines,3
M3,ABSA-Aerolinhas Brasileiras,2
M6,Amerijet International,823
MP,Martinair Holland N.V.,2
MQ,Envoy Air,262029
MW,"Mokulele Flight Services, Inc.",40472
N8,National Air Cargo Group Inc d/ba National Airlines,260
NC,Northern Air Cargo Inc.,5200
NEW,New England Airlines Inc.,8131
NK,Spirit Air Lines,136052
O6,Oceanair Linhas Aereas S A,2
OH,PSA Airlines Inc.,227419
OO,SkyWest Airlines Inc.,603019
OZ,Asiana Airlines Inc.,2590
PFQ,Asia Pacific,162
PH,Polynesian Airlines Ltd.,558
PM,"Prescott Support Company, Inc.",32
PO,Polar Air Cargo Airways,3013
PP,Jet Aviation Business Jets AG,2
PR,Philippine Airlines Inc.,67
PRQ,Florida West Airlines Inc.,41
PT,Piedmont Airlines,88292
Q5,40-Mile Air,914
QF,Qantas Airways Ltd.,1315
QK,Jazz Aviation LP,2
QX,Horizon Air,121013
RU,AirBridgeCargo Airlines Limited,1488
RV,Air Canada rouge LP,18
RVQ,"Reeve Air Alaska, LLC",204
S2,Star Marianas Air Inc.,25651
S5,Shuttle America Corp.,90402
SEB,"Seaborne Virgin Islands, Inc.",11294
SNK,Spernak Airways Inc.,3834
SQ,Singapore Airlines Ltd.,354
SVW,"Global Jet Luxembourg, Sa",23
SY,Sun Country Airlines d/b/a MN Airlines,19800
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly,50
TIQ,Tyrolean Jet Service,3
TP,TAP-TAP Air Portugal,4
U7,USA Jet Airlines Inc.,2631
UA,United Air Lines Inc.,542855
V8,Iliamna Air Taxi,4852
VC,Via Airlines d/b/a Sterling Airways,4258
VI,Vieques Air Link Inc.,15211
VIQ,Volga-Dnepr Airlines,37
VJT,VistaJet Limited,47
VS,Virgin Atlantic Airways,15
VX,Virgin America,68468
WE,Centurion Cargo Inc.,6
WG,Sunwing Airlines Inc.,70
WI,Sky Lease Cargo,317
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2378
WN,Southwest Airlines Co.,1286581
WP,Island Air Hawaii,11590
WRD,Ward Air,128
WST,Friday Harbor Seaplanes,764
X4,Air Excursions LLC,1914
X9,Omni Air International LLC,512
XL,Lan Ecuador,6
XP,TEM Enterprises dba  Avelo Airlines,1456
